"gene_id","VIP_component_1","VIP_component_2","VIP_max_component_1_2","VIP_mean_component_1_2"
"Efcab6",1.96786202223681,1.50795522008917,1.96786202223681,1.73790862116299
"Aldh1l2",1.96776000845712,1.49117779977551,1.96776000845712,1.72946890411631
"Atp6ap2",1.96762865182944,1.49809632968415,1.96762865182944,1.73286249075679
"Meg3",1.96737215367548,1.5551138269285,1.96737215367548,1.76124299030199
"Ufm1",0.283886111739275,1.96646693193622,1.96646693193622,1.12517652183775
"Wnk3",1.96327672877381,1.52369185837796,1.96327672877381,1.74348429357589
"Neto2",1.96283419435833,1.47890033343191,1.96283419435833,1.72086726389512
"Cpne2",1.96241838471652,1.47637458341879,1.96241838471652,1.71939648406766
"Ankrd32",1.96237307733226,1.50776472007328,1.96237307733226,1.73506889870277
"Serpine2",1.96100415838185,1.5369833409593,1.96100415838185,1.74899374967057
"Cxcl10",1.96013999141896,1.49067072224736,1.96013999141896,1.72540535683316
"Galnt16",0.560954454537813,1.95997038943697,1.95997038943697,1.26046242198739
"Anxa4",1.95919988134027,1.5111718133739,1.95919988134027,1.73518584735709
"Dennd5b",1.9562363873017,1.47403610280388,1.9562363873017,1.71513624505279
"Kif19a",1.10324289889037,1.95497457872635,1.95497457872635,1.52910873880836
"Nudt1",0.547340044013104,1.95441511359154,1.95441511359154,1.25087757880232
"G3bp2",0.147467893994299,1.95386538258137,1.95386538258137,1.05066663828783
"Serpina3g",1.9501978723603,1.53643504106498,1.9501978723603,1.74331645671264
"Fat3",1.94958086956715,1.64458447256597,1.94958086956715,1.79708267106656
"Tax1bp1",1.94764798628635,1.63487044113022,1.94764798628635,1.79125921370828
"Birc3",1.94750619604917,1.49785677292567,1.94750619604917,1.72268148448742
"Zfml",1.94617604343266,1.48909117172982,1.94617604343266,1.71763360758124
"Zfp52",1.94294993968462,1.5239912161971,1.94294993968462,1.73347057794086
"Kbtbd13",1.94289270345005,1.47866448354845,1.94289270345005,1.71077859349925
"Anxa7",1.94264666777574,1.46820711230917,1.94264666777574,1.70542689004245
"Lyrm7",1.41141472626684,1.94206553184679,1.94206553184679,1.67674012905681
"Dmd",1.94106292636818,1.5371392270564,1.94106292636818,1.73910107671229
"Pds5a",0.210430580402721,1.94083517633392,1.94083517633392,1.07563287836832
"Cacna1i",1.94080956881619,1.46406399495977,1.94080956881619,1.70243678188798
"Tdrd3",0.147457326504397,1.93979264321514,1.93979264321514,1.04362498485977
"Lphn1",1.9392641277147,1.69674173706345,1.9392641277147,1.81800293238907
"Maml3",0.80647809053324,1.93771693050198,1.93771693050198,1.37209751051761
