Tissue_cell_type_name	Developmental_stage	Organ_system	Tissue	Specific_cell_type	General_cell_type	Cell_Ontology_ID	General_tissue_name	Uber_anatomy_ontology_ID	input_list_raw_p	input_list_permutated_p	input_list_rank_p	input_list_combined_p	input_list_combined_log10p	delabel
Madissoon_2020_oesophagus_Epi_stratified	Adult	Digestive system	Madissoon_2020_oesophagus	Epi_stratified	Epithelial cell	CL:0000066	Esophagus	UBERON:0001043	7.89140041054138e-27	4.11708882651482e-05	0.368265682656827	0.000183408503360849	3.73658053302213	NA
Fetal_HCA_Muscle_Myeloid cells	Fetal	Muscular system	Fetal_HCA_Muscle	Myeloid cells	Myeloid cell	CL:0000763	Muscle organ	UBERON:0001630	9.00134925920341e-27	4.11708882651482e-05	0.369741697416974	0.000184082717125111	3.73498698395407	NA
TS_Fat_endothelial cell	Adult	Integumentary system	TS_Fat	endothelial cell	Endothelial cell	CL:0000115	Perirenal fat	UBERON:0005406	2.01174444587783e-66	0.000123512664795445	0.123247232472325	0.000184082717125111	3.73498698395407	NA
AdultEsophagus_Macrophage	Adult	Digestive system	AdultEsophagus	Macrophage	Macrophage	CL:0000235	Esophagus	UBERON:0001043	1.10527201504183e-26	4.11708882651482e-05	0.371217712177122	0.000184756688298537	3.73339983093816	NA
AdultSpleen_Macrophage	Adult	Lymphatic system	AdultSpleen	Macrophage	Macrophage	CL:0000235	Spleen	UBERON:0002106	1.28644049960842e-26	4.11708882651482e-05	0.371955719557196	0.000185093583215501	3.73260863701373	NA
AdultEpityphlon_Enterocyte progenitor	Adult	Digestive system	AdultEpityphlon	Enterocyte progenitor	Enterocyte	CL:0000584	Caecum	UBERON:0001153	1.39212226370529e-26	4.11708882651482e-05	0.372693726937269	0.0001854304178458	3.73181902305549	NA
FetalRib_Fetal chondrocyte	Fetal	Skeletal system	FetalRib	Fetal chondrocyte	Chondrocyte	CL:0000138	Rib	UBERON:0002228	1.68971803157516e-26	4.11708882651482e-05	0.373431734317343	0.000185767192308894	3.73103098279286	NA
AdultTrachea_Basal cell	Adult	Respiratory system	AdultTrachea	Basal cell	Basal cell	CL:0000646	Trachea	UBERON:0003126	2.04070955082035e-26	4.11708882651482e-05	0.374169741697417	0.000186103906723689	3.73024450999265	NA
VentoTormo_2018_decidua_conventional dendritic cell (DC1)	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	conventional dendritic cell (DC1)	Dendritic cell	CL:0000451	Decidua	UBERON:0002450	2.15693660773033e-26	4.11708882651482e-05	0.374907749077491	0.000186440561208645	3.72945959845855	NA
FetalStomach_Fetal enterocyte	Fetal	Digestive system	FetalStomach	Fetal enterocyte	Enterocyte	CL:0000584	Stomach	UBERON:0000945	2.89239278514639e-26	4.11708882651482e-05	0.375645756457565	0.000186777155881668	3.72867624203108	NA
AdultBoneMarrow_Erythroid cell	Adult	Lymphatic system	AdultBoneMarrow	Erythroid cell	Erythroid lineage cell	CL:0000764	Bone marrow	UBERON:0002371	3.71349180989155e-26	4.11708882651482e-05	0.377121771217712	0.000187450166261649	3.72711417003846	NA
TS_Liver_t cell	Adult	Digestive system	TS_Liver	t cell	T cell	CL:0000084	Liver	UBERON:0002107	4.43570031355691e-26	4.11708882651482e-05	0.377859778597786	0.000187786582202309	3.72633544233443	NA
TS_Kidney_b cell	Adult	Urinary system	TS_Kidney	b cell	B cell	CL:0000236	Kidney	UBERON:0002113	6.07126165934412e-26	4.11708882651482e-05	0.37859778597786	0.000188122938798219	3.72555824545923	NA
Braga_2020_lung_Mast cell	Adult	Respiratory system	Braga_2020_lung	Mast cell	Mast cell	CL:0000097	Lung	UBERON:0002048	7.43421502895268e-26	4.11708882651482e-05	0.379335793357934	0.000188459236165284	3.72478257343155	NA
VentoTormo_2018_decidua_T cell	Maternal-Fetal	Reproductive system	VentoTormo_2018_decidua	T cell	T cell	CL:0000084	Decidua	UBERON:0002450	1.11989074562033e-25	4.11708882651482e-05	0.380073800738007	0.000188795474418746	3.72400842030555	NA
FetalSpinalCord_Macrophage	Fetal	Nervous system	FetalSpinalCord	Macrophage	Microglial cell	CL:0000129	Spinal cord	UBERON:0002240	1.37219139203498e-25	4.11708882651482e-05	0.380811808118081	0.00018913165367318	3.72323578017052	NA
Placenta_Epithelial cell	Adult	Reproductive system	Placenta	Epithelial cell	Epithelial cell	CL:0000066	Placenta	UBERON:0001987	1.45479991029533e-25	4.11708882651482e-05	0.381549815498155	0.000189467774043051	3.72246464714941	NA
Madissoon_2020_lung_DC_Monocyte_Dividing	Adult	Respiratory system	Madissoon_2020_lung	DC_Monocyte_Dividing	Dendritic cell	CL:0000451	Lung	UBERON:0002048	1.7134884939231e-25	4.11708882651482e-05	0.382287822878229	0.000189803835642266	3.72169501539956	NA
AdultBladder_Epithelial cell (intermediated)	Adult	Urinary system	AdultBladder	Epithelial cell (intermediated)	Epithelial cell	CL:0000066	Bladder organ	UBERON:0018707	1.85928735482896e-25	4.11708882651482e-05	0.383025830258303	0.000190139838584291	3.72092687911219	NA
AdultLung_Macrophage	Adult	Respiratory system	AdultLung	Macrophage	Macrophage	CL:0000235	Lung	UBERON:0002048	1.88469649970238e-25	4.11708882651482e-05	0.383763837638376	0.000190475782982147	3.72016023251213	NA
Lake_2017_FrontalCortex_Mic	Adult	Nervous system	Lake_2017_FrontalCortex	Mic	Microglial cell	CL:0000129	Frontal cortex	UBERON:0001870	3.09549726771005e-25	4.11708882651482e-05	0.385239852398524	0.00019114749659499	3.71863138544041	NA
AdultRectum_T cell	Adult	Digestive system	AdultRectum	T cell	T cell	CL:0000084	Rectum	UBERON:0001052	3.1869681888468e-25	4.11708882651482e-05	0.385977859778598	0.00019148326603402	3.71786917358378	NA
Madissoon_2020_spleen_T_cell_dividing	Adult	Lymphatic system	Madissoon_2020_spleen	T_cell_dividing	T cell	CL:0000084	Spleen	UBERON:0002106	3.59017328501962e-25	4.11708882651482e-05	0.386715867158672	0.000191818977376634	3.71710842864479	NA
TS_Trachea_secretory cell	Adult	Respiratory system	TS_Trachea	secretory cell	Endocrine cell	CL:0000163	Trachea	UBERON:0003126	4.79595752166741e-25	4.11708882651482e-05	0.387453874538745	0.000192154630733632	3.71634914501264	NA
AdultAdipose_Stromal cell	Adult	Integumentary system	AdultAdipose	Stromal cell	Stromal cell	CL:0000499	Adipose tissue	UBERON:0001013	5.60070035928091e-25	4.11708882651482e-05	0.388191881918819	0.00019249022621548	3.71559131710845	NA
